UNIT_NAME,UNIT_NUM,Sq_mi
CHETCO,27,1691.868167
DIXON,22,1556.009609
EVANS CREEK,29,1041.865962
MCKENZIE,19,2644.611068
MELROSE,23,959.5895077
POWERS,26,826.1243857
ROGUE,30,1463.27727
SADDLE MTN,10,904.1614647
SANTIAM,16,3323.85229
SCAPPOOSE,11,749.6629259
SIXES,25,995.4361497
TIOGA,24,1547.43989
STOTT MTN,17,497.532635
TRASK,14,1314.050126
WILLAMETTE,15,2882.035513
WILSON,12,577.3562217
BEATYS BUTTE,70,2631.52024
BEULAH,65,2742.480915
BIGGS,43,1974.217431
CHESNIMNUS,58,657.6262721
COLUMBIA BASIN,44,2831.046732
DESOLATION,50,670.5144112
FOSSIL,45,1409.756154
GRIZZLY,38,1686.63346
HEPPNER,48,1440.794158
HOOD,42,376.2325124
IMNAHA,61,425.2537785
INTERSTATE,75,2196.56926
JUNIPER,71,2925.371582
KEATING,63,607.7739719
KENO,31,1043.477633
KLAMATH FALLS,32,1252.169922
LOOKOUT MTN,64,555.757773
MALHEUR RIVER,66,2895.06845
MAUPIN,40,528.579627
MAURY,36,1101.715339
METOLIUS,39,667.1277557
MINAM,60,575.6858858
MOUNT EMILY,54,769.7106636
MURDERERS CREEK,46,1149.633285
NORTHSIDE,47,1115.418351
OCHOCO,37,1607.796682
OWYHEE,67,3023.457137
PAULINA,35,2176.697906
PINE CREEK,62,378.1121744
FORT ROCK,77,1764.64183
SILVER LAKE,76,957.5688406
SILVIES,72,1791.156474
SNAKE RIVER,59,460.0107758
SPRAGUE,33,775.2072342
STARKEY,52,807.9535964
STEENS MTN,69,1913.392662
SUMPTER,51,1526.231133
UKIAH,49,876.4408777
UPPER DESCHUTES,34,1402.630735
WAGONTIRE,73,3114.011928
WARNER,74,923.1430276
WHITEHORSE,68,4894.746681
WALLA WALLA,55,305.9550445
WENAHA,56,413.1602445
WHITE RIVER,41,939.6619746
CRATER LAKE NP,1,285.2324014
WARM SPRINGS TRIBAL RES,0,1012.261656
SLED SPRINGS,57,884.534768
CATHERINE CREEK,53,663.6130753
ALSEA,18,1958.589389
SIUSLAW,20,1515.235813
INDIGO,21,1941.872157
APPLEGATE,28,1325.016597
